Country,Electricity Per Capita (kWh)
Afghanistan,20.18052
Africa,617.50714
Albania,2462.7786
Algeria,1963.7786
American Samoa,4063.664
Angola,475.98984
Antigua and Barbuda,3839.099
Argentina,3314.193
Armenia,3154.141
Aruba,9205.422
Asia,3434.7263
Australia,10449.849
Austria,7187.109
Azerbaijan,2793.9548
Bahamas,4951.3525
Bahrain,24140.135
Bangladesh,595.7834
Barbados,3870.1064
Belarus,4050.3596
Belgium,8076.58
Belize,764.89386
Benin,84.62604
Bermuda,9812.015
Bhutan,11502.229
Bolivia,941.5816
Bosnia and Herzegovina,5118.245
Botswana,999.886
Brazil,3145.042
British Virgin Islands,5425.7627
Brunei,12806.18
Bulgaria,7404.9443
Burkina Faso,33.959953
Burundi,27.929531
Cambodia,525.4102
Cameroon,290.88782
Canada,17154.117
Cape Verde,724.9284
Cayman Islands,10185.967
Central African Republic,26.885826
Chad,19.748001
Chile,4245.1094
China,6205.771
Colombia,1642.6332
Comoros,167.30742
Congo,669.9685
Cook Islands,2348.5205
Costa Rica,2406.9475
Cote d'Ivoire,394.8787
Croatia,3533.1824
Cuba,1626.7997
Cyprus,4202.9834
Czechia,7979.8057
Democratic Republic of Congo,111.50365
Denmark,5931.3945
Djibouti,115.98329
Dominica,2336.513
Dominican Republic,1918.2781
East Timor,380.2287
Ecuador,1813.7881
Egypt,1809.6211
El Salvador,1002.14746
Equatorial Guinea,877.65594
Eritrea,103.147606
Estonia,6711.5913
Eswatini,482.65762
Ethiopia,124.97981
Europe,6352.6255
European Union (27),6208.208
Falkland Islands,5261.7734
Faroe Islands,7907.073
Fiji,1118.5574
Finland,12971.181
France,7262.487
French Polynesia,2285.401
Gabon,996.234
Gambia,188.47041
Georgia,3805.6985
Germany,6806.658
Ghana,672.1259
Gibraltar,7650.641
Greece,4969.681
Greenland,9912.557
Grenada,1992.6829
Guam,10187.271
Guatemala,737.50635
Guinea,219.34653
Guinea-Bissau,37.99428
Guyana,1409.6228
Haiti,89.771225
High-income countries,9471.518
Honduras,1151.1707
Hong Kong,4799.1265
Hungary,3587.7302
Iceland,53284.637
India,1311.0465
Indonesia,1210.6656
Iran,3931.426
Iraq,2597.7544
Ireland,6685.1045
Israel,8398.691
Italy,4742.0728
Jamaica,1623.4099
Japan,8338.329
Jordan,1937.8206
Kazakhstan,5875.8643
Kenya,228.77245
Kiribati,228.59407
Kosovo,4163.35
Kuwait,20246.5
Kyrgyzstan,2088.794
Laos,6102.6816
Latvia,2696.344
Lebanon,1830.6864
Lesotho,216.84204
Liberia,148.98099
Libya,4444.8726
Lithuania,1498.1503
Low-income countries,176.07613
Lower-middle-income countries,1094.8873
Luxembourg,1822.1096
Macao,704.8534
Madagascar,79.69818
Malawi,66.159225
Malaysia,5335.8726
Maldives,1622.763
Mali,165.97623
Malta,4312.826
Mauritania,358.94165
Mauritius,2701.0845
Mexico,2671.9922
Moldova,1625.4236
Mongolia,2295.216
Montenegro,5278.4165
Montserrat,2266.0322
Morocco,1105.5055
Mozambique,576.89655
Myanmar,376.3429
Namibia,525.9008
Nauru,3151.8398
Nepal,321.46564
Netherlands,6848.0903
New Caledonia,9449.612
New Zealand,8522.187
Nicaragua,618.84796
Niger,30.143488
Nigeria,169.21292
Niue,0
North America,9048.603
North Korea,854.64136
North Macedonia,2732.1282
Norway,26961.955
Oceania,7316.5703
Oman,9407.163
Pakistan,714.6405
Palestine,177.14029
Panama,3030.453
Papua New Guinea,476.2081
Paraguay,6490.4365
Peru,1692.8251
Philippines,977.94196
Poland,4479.749
Portugal,4513.742
Puerto Rico,5943.2817
Qatar,20054.684
Romania,2782.911
Russia,8063.8047
Rwanda,71.13459
Saint Helena,1851.509
Saint Kitts and Nevis,4613.997
Saint Lucia,2168.2085
Saint Pierre and Miquelon,8496.177
Saint Vincent and the Grenadines,1635.26
Samoa,854.355
Sao Tome and Principe,615.6742
Saudi Arabia,11030.019
Senegal,448.12875
Serbia,4978.2837
Seychelles,5787.091
Sierra Leone,23.240349
Singapore,9525.261
Slovakia,4702.793
Slovenia,6302.3535
Solomon Islands,138.06967
Somalia,21.593967
South Africa,3985.549
South America,2850.9214
South Korea,11971.057
South Sudan,56.81208
Spain,6019.3066
Sri Lanka,796.07367
Sudan,381.01984
Suriname,3381.625
Sweden,16411.44
Switzerland,7124.33
Syria,762.0256
Taiwan,12059.817
Tajikistan,2097.9043
Tanzania,137.71466
Thailand,2515.4463
Togo,99.44964
Tonga,748.59406
Trinidad and Tobago,6152.6685
Tunisia,1715.7496
Turkey,3756.214
Turkmenistan,3587.4358
Turks and Caicos Islands,5686.0425
Uganda,114.07506
Ukraine,2838.9182
United Arab Emirates,16389.973
United Kingdom,4830.323
United States,12672.299
United States Virgin Islands,6835.614
Upper-middle-income countries,5221.5024
Uruguay,4434.9707
Uzbekistan,2158.9685
Vanuatu,214.235
Venezuela,2991.3398
Vietnam,2647.8088
World,3616.6924
Yemen,87.5459
Zambia,972.6407
Zimbabwe,547.16327
